'conectar'|tupachiy
escoger repetidamente|akllapayay
escoger un motivo para un tejido|pallay
escogido|akllasqa; chikllasqa
escogidor del mineral|palliri
escogérselo|chikllapuy; akllapuy
escolar|yachaywasiman riq; yachaqaq
escolio|rimaqich'iku
escombro|thuñi; thuni
escombros|siksi; thuñi; thuni
esconce|k'allka
esconder|tapay; pakaykuy; pakay
esconderse|pakakuy; paqariy; pakaykukuy; mitikuy
escondido|pakasqa
escondite|pakapaka; pakakuna; chinkana; chinkay
escondrijo|paka
escopeta|illapa
escoria|aka
escoria de la plata|qulqi k'aha
escorpión|q'iwi chupa; q'iwichupa; sirasira; sisira; sirara; pikaq
escozor|siqsiy; siqsi; k'aray
escribano|qillqakamayuq; qilqakamayuq; qillqaq; qilqaq
escribiente|qhilqiri; qillqiri; qillqakamayuq; qilqakamayuq; iskribiq
escribir|qhilqiy; qillqay; qilqay; qhilqay; qilqiy; iskribiy
escribírselo|qilqapuy; qillqapuy
escrito|qillqasqa; qilqasqa; qilqarima; qillqarima
escritor|qillqakamayuq; qilqakamayuq; qillqaq; qilqaq
escritorio|qilqana; qillqana
escritura|qillqaku; qillqay akna; qillqara; qilqa; qillqa; qilqay
escritura en el cuero|qara qilqa
escuadra|k'uchupulli
escualido|tullu
escucha|Yu!; chapatiyaq; uyarikuna
escucha nomás|uyarillanki
escuchar|uyariy
escuchar, aceptar|uyakuy
escudilla|p'uku; chuwa
escudo|qirar; k'irara; unancha; wallqanqa
escudo grande|markaqirar
escudriñar|watiqay; k'uskiy; khuskiy; kuskiy; qhaway; kuskipayay
escuela|yachana; yachaqana wasi; yachay wasi; yachaywasi; yachana wasi; iskuyla
esculpir|llaqllay
escultor|rumiru
escultura|ch'iquy
escupidera|thuqana
escupir|thuqay; aqtuy
escurridizo|llusp'i
escurrir|ch'umay; sut'uy; chaway; ch'away; chimay; chumay; sut'uchiy
escurrir (ropa, otra cosa torciéndola, comidas)|ch'iway
escurrirse|suruchiy; lluskhay; llusk'ay; llust'ay
escurrirse o evadirse imprevistamente|llusp'iy
escápula|qharmin; qarmin; kharmin; wamani
escúchame|uyariway; uyariway!
ese|chay; chayqa; haqay; haqiy
esencia|kay
eses|q'icha; q'ichalira
esfenoides|masu tullu
esfera|sinku; linq'u; qhururumpa; muruq'u; murq'u; k'urpa; kurp'a; q'ulu; lump'u
esferoide|murq'uñiraq; sikuñiraq
esforzado|qari; qhari; phiña; wapu; sinchi
esforzarse|kallpachakuy; chharpuykuy; kallpay
esfuerzo|arpay; kallpa
esférico|lump'u; murq'uq; lunq'u; sinkuq
esguinse|kachaña
esmalte|khusku
eso|chay; chayqa; haqay; haqiy
eso (enfático)|achay
eso no más|chaylla
eso nomás|chaylla
eso solamente|chaylla
eso sólo|chaylla
esos|chaykuna
espacio|kiti; k'iti; kita; k'ika; pinchi; pacha; ch'usa; yanqay
espacio abierto|kancha
espacio abierto en una montaña|k'asa
espacio cercado|kancha
espacio de tiempo|unaq
espacio de tiempo 100 años|wiñay
espacio inmenso|yanqay
espacio reducido|k'itku
espada|chuki
espada de tejedor|lluki; luk'i; ruki; lluk'i; ruk'i; kallwa
espadas y tallos secos del maíz, haba u otros cereales|chhalla
espadilla|kinsa k'uchu
espalda|wasa
espalda inferior, intestinos, órganos urinarios y genitales del cuerpo de un hombre, y síntomas en esa área del cuerpo (análogo a la "madre/matríz" de la mujer)|riñun
espalda inferior, intestinos, órganos urinarios y genitales del cuerpo de una mujer y síntomas en esa área del cuerpo (análogo al "riñón" del varón)|madri
espantapájaros|manchachina; p'isqu manchachi; p'isqumanchhachi; harap'ay; manchachi
espantar|manchachiy; q'iway
espantar pájaros|p'isqiyay
espantarse|may; manchay; mancharikuy; ispantakuy
espanto|manchay
esparcido|ch'iqi
esparcir|qhalliy; qhallay; ch'aqchuy; t'akay; qhachiy; thalliy; talliy; hich'ay
esparcir flores (genciana) sobre los animales al fin de una fiesta|phallchay
esparcirse|aywiy; q'uchukuy
espasmo|q'iwiy
español|wiraquchi; wiraqucha
español (lengua)|kastilla simi
español colonial|chayraqruna
especia|q'apachaqa
especia de la llajwa|kilkiña; killkiña
especial|sapaq
especialista|kamayuq
especialista ritual que paga o sirve a Pachamama, la misma persona que realiza rituales de curación y brujería (dañuq, hampikuq)|sirwiq
especialmente|astawan
especie|rikch'aq; imaymana; laya
especie de acacia|waranqu
especie de acacia usada para hacer herramientas (especialmente arados), calchas (hatos de arbolitos vivientes), para leña (también para carbón), pasto (ganado come las hojas, cabras las hojas y vainas) y para teñir lana de marrón anaranjado|harka
especie de agracejo|t'ankar
especie de ají verde pequeño|t'una uchu
especie de algarrobo americano|luyu luyu
especie de altramuz|q'ira
especie de amaranto|achita; hat'aqu
especie de anfora de arcilla|puytu; p'ulu
especie de arbol|lluq'i; pumachuku
especie de arbolillo|achiwiti; rata-rata
especie de arbusto|tayanku; kanchalawa; kachalawa; piki pichana; hapa-hapa; panti; kharwinchu; sila sila; puru-puru; ch'ilka; ch'illka; t'ankar kiska; paltay-paltay; thumana; wachanqa; ch'akatiya; runtu-runtu; chhina t'ula; chinchilkuma; chinchirkuma; chinchirquma; munti kapuli
especie de arbusto (altitud de 1250-2100 m)|yanayana; yana-yana
especie de arbusto (rroke)|ruq'i; khiñi
especie de arbusto cuyas hojas se pueden tomar en infusión o masticarse. Producen el tan conocido alcaloide, que ha invadido al mundo llamado cocaína. En Loreto se conoce el arbusto, pero el indígena no se preocupa de él. Solamente los witotos la tuestan y reducen a polvo de la nicotina|kuka; quqa
especie de arbusto cuyas hojas se usan para teñir azul|achiwa-achiwa
especie de arbusto de hojas de forma de mano|maki-maki
especie de arbusto epifítico usado como medicina contra la reuma|wiquntuy
especie de arbusto espinoso con flores rojas o blancas|llawlli
especie de arbusto pequeño que da vainas|mutiya
especie de arbusto que en Qispillaqta es la estrella de la papa|t'ankar
especie de arbusto usado como medicina diurética|kanlli
especie de ave|q'illinchu; chiwillu
especie de ave alimoche grande|qarqanchu
especie de ave altoandina|waqwa
especie de ave brillante y multicolor|pakawi
especie de ave canora de color negro y amarillo que imita el llanto de los niños, el ladrido del perro, la risa de las mujeres y cuenta por toda la selva lo que ve y lo que oye, es chismoso por excelencia|pawkar; pawqar
especie de ave de vientro negro y de cabeza y cuello ocráceo|qaqi
especie de ave frugívora|wacharu; utallaq'i
especie de ave negra|chhullchu
especie de ave negra de cola parcialmente blance|q'ararinqa
especie de ave negra y amarilla|ch'anyita
especie de ave que imita otros animales|chawkatu
especie de ave que vive en el valle y oriente|qaqinqura
especie de avestruz|suri
especie de banquete|pachamanka
especie de cacto|qhiwallu; t'isikiri; pasakana; ayrampu; ayranpu; ayarampu
especie de cactus|ruq'a; pitahaya; alqu tuna; alqu tunilla; achuma qhiwillu
especie de cactus de flores blancas y espinas amarillas que se usa para obtener agua|china hawaq'ullay
especie de cactus pequeño|suqupuru
especie de cactus pequeño de fruta roja cuyos granos se usan para teñir bebidas|ayrampu; ayranpu; ayarampu
especie de cactácea de la suni y sallqa o puna|waraqu
especie de calabaza|puru
especie de chumbera|p'ata kiska
especie de chumbera usada para setos contra los zorros|atuq-waqachi
especie de cigarra|q'isqintu; q'isqis
especie de clarinete fabricado de madera|anata
especie de coleóptero|uti-uti
especie de culebra negra y roja|hullut'uma
especie de diarrea que padecen los niños en la dentición|ayka
especie de enredadera|willk'u
especie de eringio epífito|chuchuruma
especie de escarabajo|waka waka
especie de espina|wanka
especie de fantasma que utiliza el hipnotismo para sacar la grasa de sus víctimas|kharisiri
especie de garza blanca de cuello muy largo|waqar
especie de genciana de la sierra alta (janca)|pukamakashka
especie de geranio herbáceo usado como medicina contra las aftas|chili; chili-chili
especie de geraniácea anual endémica de la alta puna|akwa-akwa; yawri-yawri; tupu-tupu
especie de gordolobo, una planta herbácea|q'itu-q'itu
especie de gusano blanco que vive en la espiga central de achupalla|askantuy
especie de hierba|nuqi; ansa waycha; iru ichhu; sacha t'ula; taratara; tara-tara; t'ula puni
especie de hierba de frutos semejantes a la calabaza|pamuku
especie de hierba de la familia de las quenopodiáceas, se emplea en medicina casera como mate para el dolor de estómago|payqu
especie de hierba enredadera|putaqllanku
especie de hierba medicinal|sidrun
especie de hierba o arbusto|ch'iri-ch'iri
especie de hierba o arbusto de flores amarillas|sunch'u; sunch'u t'ika
especie de hierba ranunculácea|uqu qura
especie de hongo|mallullu; linri
especie de hormiga muy agresiva|chakuq; chaqu
especie de junco|suqus; suqu
especie de liana de extraordinario poder narcótico, que produce psicosis delirantes durante las que se ven fenómenos maravillosos. Su principio activo es la telepatina|ayawaskha; ayawaska
especie de liana de la amazonía, usada con samiruca (chacruna) para una bebida alucinógena|ayawaskha; ayawaska
especie de liana de la selva (uso principal: medicina, ritual)|ayawaskha; ayawaska
especie de liquen epifítico usado entero para teñir de amarillo|kaka unku
especie de lobelia enana|pilli-pilli
especie de loro|wakamayu
especie de loro pequeño|q'ichichi
especie de loro que causa daño a los frutos de la intimpa durante la fructificación, produciendo lesiones con su pico y la caída prematura de los frutos|k'allaluru
especie de manopla de metal|saqmana
especie de mazamorra de la chicha|q'ita
especie de mazamorra de maíz machacado con azúcar|tuquri
especie de maíz de color mixto|qhaqya sara
especie de menta andina|muña
especie de oca|isañu
especie de orquídea que se usa como planta ornamental|munti hamanq'ay
especie de pala para remover tierra u otros usos|lanpa; lampa
especie de palma|kuyuli
especie de palma de la selva (uso principal: alimento, construcción)|chunta
especie de papa|sani papa; halq'a papa; saq'ampaya; wira malkachu; pali papa
especie de peces del lago Titicaca|ispi
especie de pendón que se cuelga en las chicherias|aqha llanthu
especie de pez|awaku
especie de pez pequeño|wita
especie de pez pequeño del lago Titicaca, cuya aparición es observada con mucho cuidado por los campesinos|ispi
especie de pez que vive en ríos|k'arpa; karpa
especie de piojillo de las plantas|muhu chinchi
especie de piojo de chumbera usado para teñir morado|khuchinilla
especie de planta|uchpa-uchpa; matiqllu; wankartipa; nuq'ay; waylla mut'iya; sullu-sullu; chhaqllu; pawka; muti-muti; hatun sullu-sullu; ullanta; pisk'ay
especie de planta (la seña de la papa)|papa phiña
especie de planta (la seña del maíz)|sara phiña
especie de planta (su semilla roja es usada como colorante para comidas y teñidos)|achiwiti
especie de planta acuática|llachu; yana llachu; ch'inkil
especie de planta acuática de la amazonía|hatun sisaq
especie de planta anual|pulla-pulla
especie de planta anual del flores azul-moradas|michimichi; supay t'ika
especie de planta colgando de las rocas como barba|urqu sunkha
especie de planta compuesta, se emplea como condimento culinario|wakatay; wakataya
especie de planta de corteza como sogas|turu qara
especie de planta de flores amarillas|ch'ullu ch'ullu
especie de planta de flores azules usada para leña|q'ila
especie de planta de flores blancas en forma de campanas|naru
especie de planta de flores moradas que da bayas|ñuñuña
especie de planta de flores rojas aterciopeladas|ch'unqa ch'unqa
especie de planta de flores rojas y amarillas|sara t'ika
especie de planta de la cual se obtienen los dientes para peines, los tallitos son secados al sol, las puntas quemadas y empapadas para hacerlos resistentes|k'ayara; chhaqraña
especie de planta de la selva (uso principal: alimento)|achuqcha; paqay; pakay; paltay; pallta; palta; inchis; kumar; khumara
especie de planta de la selva (uso principal: alimento, medicina)|papaya
especie de planta de las regiones quechua alta y parte baja de la suni|paqpa
especie de planta de tronco como gomero|q'ara llant'a
especie de planta espinosa de flores amarillas|añawaya; añawi; añawayu
especie de planta gramínea grande de la costa (hasta 1300 m) y la Amazonía (hasta 1500 m) formando densos rodales (cañabravales) en las riberas de los ríos (usos principales: medicina - diurético (cocimiento de la raíz), anemia (infusión de hojas y tallos), asma (cocimiento de las hojas tiernas) -, construcción, cestería)|pintuq
especie de planta herbácea|marqhu; pinqu-pinqu; mat'iqllu; markhu; urqu kisa; puka itana; millk'u; pusu q'illu; waylla pilli; taruka rinri
especie de planta herbácea (su raíz cura la terciana)|achanqara; achanqaray; achankaray
especie de planta herbácea bulbosa|hamanq'ay
especie de planta herbácea de flores rosadas|pikuwa
especie de planta herbácea de hasta 4 m de alto, tallos de cañas gruesas y huecas, de 4 a 6 cm de diámetro. Hojas lineales de 1,5 a 2 m de longitud y de 5 a 6 cm de ancho, dispuestas en 2 filas. Inflorescencia panícula grande y frondosa de hasta 1 m de largo, espígulas de hasta 12 mm de largo, con grandes tricomas. Frutos estrechos y oblongos de aproximadamente 1 mm de longitud|pintuq
especie de planta herbácea medicinal|uqururu; uqhururu
especie de planta herbácea rinantácea|ayamaych'a
especie de planta herbácea usada como medicina para suspender vómito|uqhi qura
especie de planta herbácea usada para el parto de los terneros|waka sullu
especie de planta medicinal|ch'akataya; q'uwa; yanayana; yana-yana; walwa; wallwa; chachakumu; chachakuma
especie de planta medicinal (de su corteza se extrae la quinina)|kina
especie de planta medicinal de la selva|wayruru
especie de planta medicinal de la selva (con el latex y con el jugo de sus hojas se pueden preparar vermifugos y otros medicamentos)|payqu
especie de planta menuda medicinal que florece al ras del suelo|panpa t'ika
especie de planta parecida al rábano, usada como planta alimenticia y medicinal|hayaq willk'u; maka
especie de planta parásita trepadora|pupa
especie de planta trepadora|wasi watana
especie de planta tubércula|maswa
especie de planta tubércula de la selva (uso principal: alimento)|rumu
especie de planta usada como remedio para la gastritis (nabo de flores azules)|rawanu
especie de pájaro andino parecido al gallo|manaqaraku
especie de pájaro blanquinegro|alqamari
especie de pájaro que vive en las hojas de caña|kiskis
especie de quebracho|tikira; tisikira
especie de ranunculácea herbácea de la alta puna|panta-panta
especie de red para colocar las cosas y llevar a cuestas|linchi
especie de roedor|pikuru; hayupa; siwayru
especie de saco o camisa sin manga ni cuello, de genero de lana de color colorado o amarillo que se lleva sobre el cutis|unkhu; unku
especie de saltamontes|sirp'a
especie de salvia|sipita; ñukchu; ñukch'u
especie de sopa que se prepara con maíz o trigo molido, agua, carne y otros condimentos|ch'aqi
especie de tabaco|supay qarqu
especie de trébol de flores rosadas usado como medicina para la vista y para fracturas de huesos del ganado|ch'ikmu; chikmu
especie de umbelífera herbácea de la sierra alta (janca) formando almohadillas|yarita
especie de árbol|lima-lima; unka; lluthu; llutha; t'asta; ullantay; mut'uy; wayakan; mahu mansana; ch'uyllur; chuyllur; kiswar; qutu kiswar; kalastu; phanka; yarawisqu; yanali; chuyllur; atuq sidru; atuq siwis; waman qiru; wankar tipa; tharku; sach'a q'ira; churki
especie de árbol conífero|intimpa
especie de árbol de la familia de las sapindáceas, crece en la Costa, Valles interandinos y Amazonía, así como en los países cálidos de América Latina. Sus frutos, unas bolitas negras cubiertas de una cáscara gruesa y blanda|ch'uchu
especie de árbol de la selva (uso principal: medicina, ritual)|wituq
especie de árbol de la selva, de madera muy dura|chunta
especie de árbol espinoso|churki
especie de árbol espinoso de flores pequeñas blancas y de frutos rojos drupáceos|wayruru
especie de árbol frutal|munti papaya; lukma; ruqma; rukma
especie de árbol leguminoso|tara; taraqchi; t'ara
especie de árbol molle|kawsay sach'a; china mulli
especie de árbol saxifragáceo cuya madera se usa para muebles torneados|chachakumu; chachakuma
especie gramínea de la puna|pumachu; chillwar; ch'illiwa
especie intermedia entre la llama y la vicuña|wanaku; wanak'u
especie que se puede intercambiar|rantina
espectoración|qhaqya thuqay
espectorante|thuqachikuq
espectro|kukuchi
espejismo|rirphuna
espejo|qhawakuna; lirpu; rirphu; rirpu
esperanza|suyana; suyakuy; suyay
esperar|suyakuy; suyay
esperar (expectar)|yuyay
esperma|yumay; yuma
espero que|uhalá
espero que no|manataqchá
espesar|sankhuchay; pipuchay; sankhuyachiy; allpiyachiy
espesar el tejido|pipuchay; mat'iy awayta
espesarse|sankhuyay
espeso|pipu; khaka; thaka; allpi; rakhu; sankhu
espiar|qhamiyay; watiqay
espiga (trigo, cebada pero no maíz)|uma t'ika
espiga de maíz|parwa
espina|ruq'i; kiska; khiska; khishka
espina (término genérico)|kiska; khiska; khishka
espina del cacto|qhipu
espina dorsal|wasa tullu; wasatullu
espinado|khiskasqa
espinal|chilina
espinar|khiskay
espinas de tuna|khipu
espinazo|wasa tullu; wasatullu
espinilla|suchi; wamantullu; waman tullu
espinilla muy menuda de la tuna o de otras plantas|qhipu
espinillo|churki
espino|llawlli
espinoso|khiskakhiska
espiral|k'uyuqpa; muyuqi; phiruru; phiriru; ch'uwiqpa
esponjoso|phusa; llamp'u; llanp'u
esposa|warmi
esposa de Wayna Qhapaq y madre de Waskar|Mama Rawa Uqllu
esposa del Inca|quya
esposas|chaqnay
esposas para maniatar a los reos|chipana
esposo|q'usa; qusa
espuma|sulla; phusuqu
espuma del mar|quchaphusuqu
espumar|phusuquy
esputo|qhutu
espía|chapatiyaq; qhawaq; tukuyrikuq; uyarikuna; chapa
espía pública|chapa
espíritu|sami; ispiritu; awki; samay; nuna; kukuchi; ñukñu
espíritu (fantasma)|animu; alma
espíritu benevolente que ayuda a los mineros a encontrar el metal|anchanchu
espíritu del agua|unu kawsay
espíritu del mal|lanlaku
espíritu errante|supay
espíritu macho del lugar natal de una persona|itu apu
espíritu maligno|suq'a
espíritu malo|suq'a machu
espíritu montano tutelar de la fiesta Quyllur Rit'i|Apu Sinak'ara
espíritu montano tutelar grande que abarcando una región entera, relacionado con el tercer nivel del camino espiritual andino|suyu apu
espíritu montano tutelar local de una comunidad o estirpe, relacionado con el primer nivel del camino espiritual andino|ayllu apu
espíritu montano tutelar mediano relacionado con el segundo nivel del camino espiritual andino|llaqta apu
espíritu natural femenino que es guardia del lugar natal de una persona|paqarina
espíritu natural femenino torcido|suq'a
espíritu o deidad mayor que habita en los cerros mayores|awki ruwal
espíritu o deidad menor|awki
espíritu o divinidad superior|apu
espíritus femeninos del agua|ñust'a
espíritus mensajeros de los apus|ankhari
esqueleto|tullu; karka
esqueleto humano|runa saqru
esquelético|ch'arkilu
esquema|t'iktulla
esquemático|t'iktullaypa; t'iktullayman ñinakuq
esquila|chukcha rutusqa
esquilar|rutuy; ruthuy; khusluy
esquina|k'uchu; kuchu
esquina de paño|ch'ullpa
esquirla|chhiki
esquisito|sumaq
esta|kay; kayqa
esta jovencita ya está casadera|kasarakunqaña kay sipascha
esta vez|kunankutipi
estaba|karqa; karqan
estaba (yo)|karqani
estabas|karqanki
estabilizar|takyachiy
estabilizarse|takyay
estable|mana tukukuyniyuq
establecer|qallarichiy; takyachiy; tiqsiy; t'iksiy; tiksiy; yakyay
establecimiento dedicado a la explotación de vacas lecheras|tanpu; tampu
estaca|istaka; takarpu
estacar|chaquruy
estacas en que urden|allwina takarpu
estación|pachamit'a
estación atmosferica|mit'a
estación climática|mit'a
estación de las lluvias|paraymit'a; paray mit'a
estación del año|pachamit'a; mit'a
estación del ferrocarril a Tecoya (Bolivia)|Ch'unqiri
estado|suyu
estado de derecho|chaninchasqa kamachiy
estado de una persona que es curada de hurañía|urañasqa
estado de vivir juntos antes de ser casados oficialmente, cuando el par vive en casa de los padres del novio|tiyaq
estado del alma espantado fuera del cuerpo, sufrido sobre todo por niños, que según dicen tienen una relación débil entre cuerpo y alma, síntomas son diarrea, calentura y llorar|uraña
estado morboso|chhulli
estadística|ranuymanta yachaykuna; ranuykama
estadístico|lanuykamayman ñinakuq; ranuykamayman ñinakuq; ranuypa; lanuypa
estafador|p'aqpaku; ch'awka
estafar|ingañay
estallar|q'aqniy; q'aq niy; t'uqyay
estallar un recipiente lleno de líquido|p'allachay
estallido|t'uqyay
estallido a causa de salida del huevo|t'uqyay
estallido leve|phak
estamos (excl.)|kayku
estamos (incl.)|kanchis; kanchiq
estancia|istansya; kancha
estandarte|llaphara; unancha
estanque|qhucha; qucha; p'unqu; tuqu; t'uqu; p'uyunqu; pukyu
estante|churarina; waqaychana
estar|kashay; kaskay; kasay; kay; tiyay
estar (ahora)|kashay; kaskay; kasay
estar (local)|tiyay
estar (salud)|kapuy
estar a punto para urdir|allwinayay
estar acostado|wikch'urayay; siriy
estar agitado|tarantachay; sayk'upakuy
estar agobiado|unphuy; umphuy
estar alegre|kusiy
estar alerta|ch'itiripuy
estar alerto|ch'itiripuy
estar animoso|qharichakuy
estar apurado|rurupakuy
estar atento|rikch'ariy; sumallikuy
estar ausente|pisiy
estar cansado|k'aywiy; kariy; qariy
estar cierto|yachaymiy; takyapasqa kay
estar concernido|llakllariy; llaqllariy
estar confiado|yachaypi takyay; yuyanchasqa kay; sunqullikuy; takyapasqa kay
estar confuso|muspay; musphay; pantaykacha; uma muyuy
estar contento|kusikuy
estar convencido|yachaypi takyay; yuyanchasqa kay; sunqullikuy
estar cortés|sumallikuy
estar cuidadoso|llakllariy; llaqllariy
estar de acuerdo|ariniy; allipunakuy; yachachinakuy; allipunakapuy; rimanakuy; yuyariy
estar de bruces|thallay
estar de pie|sayakuy; sayariy; sayay
estar de sed|ch'akiy
estar desocupado|qasiy
estar dormido|puñurayay
estar dormilón|puñuy atiy
estar echado|wikch'urayay
estar eficaz|arpay
estar embarazada|wawallikuy
estar en camino|kachaykukuy
estar en cuclillas|chukchuy; qunquriy
estar en mala disposición|q'aymay
estar enfermo|unquy
estar enquieto|ch'iqmikuy
estar entusiástico|sunquchakuy
estar escaso|pisiyay
estar famélico|ch'achay
estar feliz|kusikuy
estar fino|sumallikuy
estar flojo|t'iqmuy
estar frío|chiriy
estar habitualmente en un lugar|sayay
estar harto|saksay; saqsay
estar inquieto|llakllariy; llaqllariy
estar mareado|uma muyuy
estar nervioso|tarantachay
estar noche|tutay
estar orgulloso|runaykachay
estar parado|sayakuy; sayay
estar perplejo|sumaychasqa kay
estar persuadido|sut'ipi kay
estar pobre|wakcha kay
estar preocupado por alguien|llakiy
estar presente|sayay
estar preñada|wawallikuy
estar radiante de alegría|llamllay; qallallay; qallayay
estar realmente cansado|utiy
estar sabiendo|yachakuy; yachay; yachakay
estar sediento|yakunayay
estar seguro|takyapasqa kay
estar seguro de sí mismo|takyapasqa kay
estar sentado|tiyay
estar sin fuerza|chullchuykuy
estar sorprendido|sumaychasqa kay; admirasqa kay
estar tarde|tarday
estar temeroso|k'isay
estar triste|llakiy; sunqu nanay
estar turbado|sumaychasqa kay
estar valiente|qharichakuy
estarse tiñendo|tullpurayay
estarse torcido|q'iwirayay
estarse urdido|allwirayay
estas|kaykuna
estas cosas|kaykuna
estatua|wawqi; wank'a
estatura|sayay; wawqi; hatun kay
estatura diforme, grandazo|hatun karay; hatunkaray
estaño|titi; chapi; chayanta
este|kay; anti; kayqa; intichay
este (donde sale el sol)|intiq lluqsinan
este aquí|kaypi
este año|kunan wata
este miserable mundo|kayqampacha
este mundo|kay pacha
estera de paja circular usada como sede al telar|mast'ana
estercolar|wanuchay; wanunchay
esternón|ñawpaq qhasqu tullu; ñawpa qhasqu tullu; wamani
estiercol|wanu
estiercolero|wanupata
estimado|munasqa; munakusqa
estimar|chaninchay; haqawariy
estimulación|rimanakuy
estimular|sunquchay
estirar|ch'utay; chutay; mast'ariy; ch'umay; mast'ay; suniyachiy; hatunyachiy; atiykuy; aysay
estirar demasiado|atiykuy; ch'umay
estirar los pies recogidos|hayt'arikuy; hayt'arakuy
estirar, jalar|aysay
estirarse|chutayukuy; suniyay
estiércol|aka; kharka; isma; wanu
estiércol barroso de los corrales|khara
estiércol de oveja, llama o alpaca|thaqya
estiércol de vaca|khara
esto|kay; kayqa
esto (el acento indica el accidente)|kayqa
estorbar|takuriy; hark'ay
estorbo|ch'iqmi
estornudar|achhuy; achhiy; achiy; hachiy; achiy
estornudo|achhuy; achhiy; achiy
estos|kaykuna
estoy|kani
estoy dormilón|puñuy atiwan
estoy viniendo|hampusqayki!; hampusqayki
estrabismo|lirq'u
estrangular|muqt'iykachay; lluphachiy; k'iskiy; p'ultiy; sipiy
estrangular con la mano|sipiy
estrechar|k'ullkuyachiy; k'iskichay
estrechar con la mano|q'apiy
estrecharse|k'iskiyay
estrecho|ñaq'ay; ñak'ay; ñakay; llañu; llañuy; k'ullku; k'ikllu; k'iski; k'isku; huk'u; sump'u; sumpu; mich'a; pisiy
estrecho (cosas, objetos)|k'iski; k'isku
estrecho (ropa)|k'uku-k'ukulla
estrecho vestido|k'iskilla p'acha; k'iskilla kamas papas kamaq p'acha
estrecho y largo|chhuqu
estrechura del río|punku
estregar|qupay; qhituy; khituy
estregarse mucho|khitukuy
estrella|lusiru; quyllur; ch'aska; wara
estrella de las dos partes iguales (proveniencia: Sonqo)|qusqutuqa ch'aska
estrella del sur|quyllur
estrella en el cenit|qusqutuqa ch'aska; altupiña ch'aska
estrella grande (de primera magnitud)|hatun quyllur
estrella que desde el cielo vigilaba y perseguía a los que cometían el delito de incesto con sus padres o muquy, un tukuyrikuq divino o como un ser moralizador|maman muquq quyllur
estrella que ya está alta|altupiña ch'aska
estrella solar (planeta)|ch'aska
estrellar|ch'allpay
estrellar vidrio|chhaluy
estrellas alfa y beta de la constelación del Centauro|Llamaq Ñawin; Llama Ñawi
estrellas fugaces (lit. boleadora, ladrón - proveniencia: Misminay)|bulyadura
estrellas fugaces (lit. estrellas de plata, proveniencia: Misminay)|ch'aska plata
estremecerse|kharkay; chukchuy
estremidad|qaylla
estrenar|ariy
estreñido|k'iskisqa; k'iski; k'isku
estreñimiento|k'iski; aka k'iski
estreñir|k'iskiy
estribillo|tatiy
estricto|chachá
estructura|pawarin; wasichay; pawaynin
estructura física de persona (por analogía, el tamaño (yura) tiene relación con la raíz (chapa))|yura
estrujado|q'allpisqa
estrujar|q'apiy; q'allpiy
estrujar o esprimir con las manos|q'allpiy
estrujarse|q'allpikuy
estrépito|p'utuksi
estudiante|yachachikuq; istudiyanti; yachay munaq; yachakuq; yachakaq
estudiar|liyiy; yachay; yachakuy; yachay; yachakay; yachaqay; yachakipay; istudiay
estudio|yachaqa; yachay; yachakipa
estupefacto|musphachisqa
está|kan
está lloviendo|paraskan
está muy salado|ñisu kachisapa
estáis|kankichiq; kankichis
están|kanku
estás|kanki
estéril|uspha; uspa; tullu; purun; qumi; urwa; saqra puquq
estómago|wiqsa; wiksan; wisa; wiksa; hiq'i
estómago espiritual (en analogía al nombre de la capital del imperio Inka), en sentido místico se refiere también al centro energético junto al ombligo físico, su función es comer y digerir energía vital|qusqu
estúpido|t'ara; q'uqa; mankata; upa
esófago|tunqur; tunquri; tunquru; milq'uti; milquy; millp'una; millp'uti; milp'uti
esófago de los animales|ichhu
etapa|mit'a
etapa de la niñez|irqi kay
eternamente|wiñaypaq
eternidad|wiñaykay; wiñay
eternizarse|wiñaychakuy
eterno|wiñay kaq; wiñaykaq; wiñay; wiñay kashaq; wiñaypaq
eterno amortiguado|puñuskiri
etmoides|q'imi tullu
etrecho de miras|k'ullu uma
eucalipto|iwkalistu; kalistu
eucalipto azul|urqu kalistu
eucalipto rojo|chhina kalistu
evacuación|q'icha; q'ichalira
evacuar|akay
evacuar las materias fecales|ismay; akay
evacuar líquido diarreico|q'ichay
evadir|ayqiy
evaluar|chaninchay
evangelio|iwanqilyu
evaporador|waksichiq
evaporar|wawsiy; wapsiy; bawsiy; waksiy
evaporarse|wawsiy; wapsiy; bawsiy; waksiy
evidencia|sut'i; chiqaq; kashay; chiqa
evidente|chiqa; chiqapaq; sut'i
evidentemente|riki
evitar|pulqay
evitar algo|imamantapis karunchay
exactamente|chiqamayta; chiqamaywan; k'apaqta; hinapuni
exactamente igual|kikin; kikinpacha
exacto|k'apaq kaq; siwk; k'apak; chiqama kaq
exagerar|mirachiy
exalar|samay
exaltar|hatunchay; sumaqchay; sumaychay
examen|qhawpa; paqtaku; watuka
examinador|watukuq; qhawapaq
examinar|chinpachiy; qhaway; taripariy; watiqay; mask'ay; maskay; maskhay; taripay; tarpay; qhawariy; k'uskiy; khuskiy; kuskiy; t'aqwiriy; riqsiy
examinar los propios actos|khuskikuy
exasperar|rabiachiy
excampar|usariy
excavar|allay; karuy; hutk'uy; husk'uy
exceder|yalliy; puchuy
excelencia|qullana; qhapaqkay; qhapaq kay; qulla
excelente|kusa; sumaq; allin
