'a || a || venir de arriba abajo;desprenderse;caerse;desplomarse;caer;derrumbarse
jejuvyso || a || estirarse el cuello
jejyvapoka || a || torcerse el brazo
jekaru || a || comerse
jeko || a || apoyarse;recostarse o reclinarse por algo;sostenerse
jekopyty || a || llegar aun acuerdo;ponerse de acuerdo;concordar;convivir;ayudarse mútua y solidariamente;entenderse;comprenderse
jeku'ako || a || apoyar la mano en la cintura;ponerse en jarras con las manos a la cintura
jeku'akua || a || ceñirse la cintura;atarse la cintura;poner las manos a la cintura
jekuaajevy || a || reaparecer
jekuaakuaa || a || mostrarse y desaparecer;mostrarse a medias varias veces;aparecer y desaparecer seguidamente
jekuaauka || a || identificarse;darse a conocer;hacerse informar o avisar;hacerse ver
jekuaru || a || orinarse
jekupymbojo'a || a || cruzarse las piernas
jekupyty || a || comprenderse;entenderse
jekutu || a || herirse con arma blanca punzante;clavarse;ser apuñalado
jeky'o || a || despiojarse
jekyhyje || a || temerse;ser temido
jekyreka || a || despiojarse
jekyty || a || rozarse;fregarse;frotarse;restregarse;fricarse;ludirse
jeovaho'i || a || taparse la cara
jepe'a || a || abrirse;desprenderse
jepe'ajoka || a || partir leñas
jepe'ava || a || cortar leña de los árboles;juntar leñas;atar leñas
jepe'o || a || descortezarse;picarse un poquito la superficie de un objeto;pincharse la piel
jepeju || a || abanicarse;ventilarse;soplarse;airearse;darse viento
jepepi || a || alzarse la ropa;alzarse la falda;alzarse la sotana;alzarse la pollera
jepepy || a || curvar;arquearse;encorvarse;ladearse;echarse hacia el frente;inclinarse hacia atrás
jepia || a || desviarse
jepicha || a || molestarse;disgustarse;ofenderse;enfadarse;fastidiarse;turbarse;abochornarse;sentirse molesto;sentirse disgustado;sentirse ofendido
jepichy || a || frotarse;friccionarse;masajearse;tomar masaje;fregarse;darse friegas
jepire'o || a || pelarse en parte o total;sacarse la piel en parte
jepiro || a || pelarse;mondarse;sacarse la piel;descortezarse;descascararse;despellejarse
jepo'o || a || destetarse;desmamar;arrancarse
jepoapy || a || juntar las manos con los dedos entrecruzados
jepohýi || a || secarse la mano;limpiarse la mano
jepoi || a || echarse;arrojarse;arrojarse al vacío;precipitarse;abalanzarse;largarse;largarse al espacio desprendido de todo;soltarse;tirarse;lanzarse;bajarse;acometer;atacar;agredir;apearse
jepoity || a || llamar con la mano
jepoka || a || torcerse;retorcerse;liarse;recurrir;tener fe y confianza en una persona o cosa
jepoko || a || tocarse
jepokói || a || agarrarse;sostenerse;prenderse;aprenhenderse;apoyarse;asirse
jepokua || a || esposar las manos;ser atado de manos;manearse
jepokuaaite || a || acostumbrarse mucho
jepokuipe || a || ahuecarse las manos a manera de cuchara para recibir agua
jepokuita || a || bracear;nadar;remar con las manos
jepokyty || a || fregarse o frotarse las manos;arrastrarse por el suelo como hace el perro
jepomboja || a || juntarse las manos
jepombojuasa || a || cruzarse las manos
jepome'ẽ || a || dar confianza;dar la mano
jepomoĩ || a || pedir la bendición;ofrecer la mano
jepopeka || a || abrirse las manos
jepopepy || a || doblegar;vencer
jepopete || a || aplaudir;palmotear;dar palmadas;golpearse las manos
jepopiã'o || a || clavar el aguijón;quitarse el aguijón de la picadura de avispa;hablar claro;decir verdades duras;desahogarse;hablar con toda crudeza
jepopichy || a || fregarse;frotarse o estregarse las manos
jepopiro || a || pelarse la mano
jepopo || a || corcovear
jepopoka || a || torcerse o retorcerse las manos
jepopychy || a || estrecharse las manos saludándose dos personas
jepopyso || a || extenderse o distenderse las manos o los brazos
jeporara || a || rebuscarse
jeporeka || a || rebuscarse;saber rebuscarse;buscar o hurgar con la mano
jeporiahuguereko || a || ser compadecido;compadecer;ser motivo de compasión
jeporuka/jepuruka || a || prestarse
jeposu'u || a || atarse fuertemente las manos;endureserse un nudo
jepota || a || encenderse o prenderse el fuego;comenzar o empezar a arder;estar encendido;desearse;quererse;ser querido o deseado
jepoupi || a || levantar o alzarse las manos;levantar la mano amenazante;imponer las manos
jepovyvy || a || palpar;buscar palpando;buscar minuciosamente;hurgar;reconocer tocando algo;revolver;bucear con la mano algo oculto;registrar;cachear
jepoyru || a || llamar con la mano;hacer seña
jeporuvai || a || usarse mal;abusarse
jepy || a || vengarse
jepy'ajoko || a || comer lo suficiente;comer un bocado;detener el hambre o engañar al estómago
jepy'ajuka || a || apenarse;morir de quebranto;quebrarsele el corazón;afligirse;morir de pena;desesperarse en grado sumo
jepy'aka || a || pasmarse;quedarse momentáneamente sin respiración o sin conocimiento;asfixiarse;golpearse en el estómago
jepy'amoĩ || a || disponerse;alistarse;decidirse
jepy'ãngata || a || preocuparse;estar en expectación
jepy'api || a || sufrir desengaño;equivocarse;chasmuquearse
jepy'apy'o || a || librarse de una preocupación o pena
jepy'amongeta || a || reflexionar;centrar el pensamiento en algo;considerar con atención;razonar;aplicar el pensamiento para deducir una conclusión
jepyapy || a || llevarse chasco;sufrir desengaño;equivocarse de persona;tomar uno por otro
jepyeka || a || examinar;estudiar;investigar
jepyekýi || a || deshilarse
jepyhara || a || saltarse por encima de obstáculo
jepyhéi || a || lavarse los pies
jepyho || a || trastrabillarse
jepyhy || a || tomarse;aprehenderse;asirse;agarrarse
jepýi || a || resbalarse;perder el equilibrio
jepykua || a || engrillar;atarse los pies;ser atado de los pies;atársele a uno los pies
jepyteka/jepypeka || a || escarbar;arañar;raspar
jepypy || a || insistir
jepysaka || a || escuchar;atender;poner atención con el oido;prestar atención para escuchar algo
jepyso || a || extenderse;estirarse;alargarse;tirarse;depedazarse;desplegarse;desperezarse
jepysohatã || a || ponerse muy tirante;tomar posición de extrema tirantez;ponerse tenso
jepysopuku || a || extenderse largamente
jepyta || a || quedarse;pararse;estar quedo
jepyta'ã || a || pararse en puntas de pie;apuntalarse;estribar
jepytakã || a || pararse en puntas de pie
jepyti'apete || a || darse golpes en el pecho
jepytujoko || a || retener la respiración;detener el aliento;sofocarse
jepyvu || a || batir;menear;revolverse;removerse;dar vuelta
jerepa || a || acorralar;dar toda la vuelta
jereraha || a || conducirse;llevar;raptar
jerereko || a || cuidarse;mantener;mantenerse;cuidarse la salud;precaverse;sostenerse;tenerse;prevenirse;apercibirse
jererohory || a || ser agasajado;tratar cariñosamente;festejarse
jereroja || a || transportarse;acarrearse;ser acarreado;apartarse;trasladarse
jererokañy || a || raptarse
jererova || a || mudarse;ser trasladado;trasladarse;desplazarse;ser desplazado;ladearse la cara
jererovia || a || creerse;confiarse;fiarse;confiarse;tener crédito;ser creído
jererovu || a || ufanarse;hincharse;engreírse;infatuarse;jactarse;engrandecerse vanidosamente
jereru || a || traerse;remitirse
jeresarea || a || equivocarse;errar;confundirse una cosa con otra
jeretepyso || a || desperezarse;desentumecerse;estirarse
jero || a || ofenderse;ser quisquilloso;no doblegarse;ufanarse;engreirse
jerokua || a || menearse sexualmente;moverse;acometer
jerokykuaa || a || saber bailar
jerova || a || mover la cara;apartar la cara;mudarse;cambiar de lugar;trasladar;trasladarse;volver la cara;mirar otro lado;ocultar el bulto
jesapy || a || cerrar los ojos;morir
jesapymi || a || entornar los ojos;guiñar
jesaupi || a || alzar la vista;levantar los ojos;mirar hacia arriba
jestira || a || estirar;estirarse
jesu'u || a || morderse
jetekyty || a || fregarse
jetepoka || a || retorcerse el cuerpo;deperezarse;desentumecerse
jetopa || a || encontrarse;tropezarse;toparse
jetopeta || a || chocar;encontrarse
jetu'u || a || obstinarse;trabarse;trancarse;plantarse;empecinarse;empacarse;pertsitir;apuntalarse;incrustrarse
jetypeka || a || escarbar;arañar;raspar;escarbarse;rebuscarse;remover la tierra;investigar;averiguar;estudiar
jeva || a || mudarse;convertirse
jevava || a || tambalearse
jevika || a || dar culadas;darse golpe en el trasero o dorso;caerse sentado
jevolea || a || dar vuelta;voltearse
jevy || a || retroceder;volver;regresar;retornar;convertirse;rebotar
jevy'a || a || divertirse;alegrarse
jevyka || a || escarbar;rebuscar;hurgar;desenterrar;hurgar;palpar
jo'opa || a || cavar por todas partes
jo'opypuku || a || ahondar;cabar profundamente
jo'oyvy || a || caminar rápido;poner pie en pólvora;huir;escapar;marcharse con algún utensilio o con los dientes;desenvainar;cascar;romper la tierra
jo'u || a || devorarse mutuamente;entregarse mutuamente en el acto sexual
jo'upa || a || devorarse unos a otros
joapi || a || tirarse;acertarse
joasa || a || cruzarse con una persona en el camino
joechapy'ỹi || a || verse a menudo
joguareko || a || fiar;comprar a crédito;llevar sin pagar
jogueroayvu || a || dialogar
johasa || a || cruzar;cruzarse con una persona o cosa con otra
johayhu || a || amarse mutuamente;amarse recíprocamente;quererse
johecha || a || verse dos o más personas;encontrarse cara a cara;entrevistarse
johechagi || a || verse sin compromiso alguno;verse reciprocamente;tolerarse;simularse
johecharei || a || verse sin compromiso alguno;verse reciprocamente;tolerarse;simularse
johekopyty || a || entenderse mutuamente
johýi || a || fregar limpiando;limpiar;restregar;fregar;refregar;enjugar;rozar;lavar superficialmente;enjuagar;secar
joity || a || echarse al suelo;tumbarse;hacerse caer el uno al otro
jojogua || a || asemejarse;parecerse;compararse
jojopói || a || obsequiarse mutuamente
jojopy || a || apretarse recíprocamente;apretujarse;oprimirse mutuamente unos a otros
jokayvy || a || abrir surco;huir;escapar;correr;caminar rápido;poner pie en pólvora;marcharse con algún utensilio o con los dientes;desenvainar;cascar;romper la tierra
jokouka/jokoyka || a || hacer detener
jokupyty || a || comprenderse;entenderse
joky'u || a || acariciarse mutuamente
jokyvu || a || acariciarse mutuamente
jopapa || a || enumerarse mutuamente
jopohu || a || visitar;visitar a persona enferma;averiguar el estado de salud
jopoi || a || separarse;divorciarse o dejarse el uno del otro
jopoko || a || tocarse mutuamente
joporu || a || usar el uno del otro;servir;prestarse mutuamente;turnarse;turnar;elevarse;reemplazarse;reemplazar;alternarse;relevarse
jopoyhu || a || temer;tener miedo;recelarse el uno del otro
jopuru || a || usar el uno del otro;servir;prestarse mutuamente;turnarse;elevarse
jopypy || a || embutir
jorea || a || poner la batata al sol para adquirir dulzura
jotopa || a || encontrar;coincidir en lugar varias personas;afianzar;decir verdades dolorosas
joupe || a || darse el uno al otro entre sí
jovahéi || a || lavarse la cara
jovasa || a || santiguarse;santiguar;persignarse;signar
jovayva || a || levantar el rostro
jovía || a || invitar;convidar;ofrecer;prometer
joy || a || fregar;frotar
joykécho || a || hacer cosquillas
joyvy || a || ponerse en dúo
juhuka || a || hacer encontrar;procurar;hablar
juruka || a || sofrenar;refrenar la caballería
kotyporuka || a || alquilar pieza
kuaauka || a || comunicar;enviar para comunicar;informar;participar;anunciar;hacer saber;hacer conocer;divulgar;propalar;avisar;notificar
mba'eavy || a || errar el blanco;equivocarse
mba'eavyky || a || tocar lo ajeno;robar cosa de pequeño valor;hurtar;manosear;tratar una obra ajena;plagiar
mba'ehapy || a || quemar cosas
mba'ejapo || a || hacer cosas
mba'ejehupyty || a || lograr un objetivo
mba'ejerure || a || ser pedigueño;pedir cosas a alguien
mba'ejogua || a || hacer compras;comprar cosas;ir de compras
mba'ejoko || a || atajar algo;frenar
mba'ejopy || a || prensar alguna cosa;apretar algo;oprimir a alguien;aplastar algo;exprimir;ceñir;estrujar;estrechar;ajustar
mba'ejuka || a || matar
mba'ejura || a || enlazar
mba'ekuaaha'ã || a || analizar
mba'emama || a || liar cosas
mba'eñangareko || a || cuidar las cosas;vigilar;custodiar
mba'eñemu || a || vender cosas;negociar
mba'eñongatu || a || economizar;guardar las cosas
mba'epepi || a || arremangar;aporcar;trabajar
mba'epepy || a || doblar;inclinar;curvar
mba'eporu || a || prestar una cosa;pedir a préstamo;recibir en préstamo
mba'epovã || a || torcer fibras;hacer hilo
mba'epovyvy || a || hurgar;revolver;investigar
mba'epuru || a || prestar;recibir en préstamo;pedir a préstamo
mba'epuvã || a || desentonar
mba'epyru || a || tomar turno
mba'epysy || a || tomar algo;coger algo;agarrar
mba'epyte || a || chupar algo
mba'epyty || a || atorarse
mba'epyvu || a || revolver algo por dentro
mba'erai || a || escribir;trazar líneas;pintar;dibujar
mba'erapy || a || quemar;producir quemazón
mba'erayhu || a || apreciar las cosas;sentir cariño hacia las cosas
mba'ere'ỹi || a || rascar;halagar
mba'erecha || a || ver cosas
mba'erechakuaa || a || considerar;reconocer;agradecer;saber ver;ser atento;notar;darse cuenta de algo;percibir;percatarse;comprender;entender;tolerar
mba'erekýi || a || cuestionar algo
mba'erendu || a || saber escuchar las cosas;estudiar
mba'erepyme'ẽ || a || pagar cuenta
mba'ererahapa || a || arrasar;llevarse todo por delante
mba'erereko || a || poseer;ser propietario
mba'ereru || a || traer cosas
mba'eresy || a || exponerse al sol
mba'eretũ || a || oler las cosas
mba'eretũretũ || a || besuquear las cosas
mba'embo'e || a || enseñar algo
mba'embou || a || enviar algo
mba'emo'ã || a || cubrir algo
mba'emondo || a || enviar algo;despachar encomienda
mba'eñotỹ || a || sembrar algo
mba'epota || a || desear algo
mba'erembipota || a || desear algo de alguien
mba'eremimbou || a || enviar algo
mba'eremimbyasy || a || entriztecer a alguien
mba'eremime'ẽ || a || dar algo a alguien
mbo'apakua || a || ovillar;envolver lazo;arrollar;enrollar soga, alambre;embalar;liar
mbo'ape || a || forrar;poner tapas;ensillar
mbo'ára || a || datar;fechar
mbo'are/mboare || a || retardar;demorar;entretener;dilatar;alargar;prorrogar;detener;aplazar;postergar
mbo'aysẽ || a || provocar polusión
mbo'ekuaa || a || persuadir
mbo'euka || a || hacer enseñar o educar
mbo'ita || a || apedrear
mbo'opívo || a || desnudar;desvestir;despojar;quitar la ropa;dejar en cuero
mbo'úi || a || alentar al perro contra alguien;predisponer
mbo'yguy || a || zambullir;sumergir;inundar;anegar;chapuzar;hundir;ahogar;asomar;clavar;meter debajo de un líquido o en agua
mbo'ypa || a || agotar un pozo de agua;desaguar;secar;hacer secar un lugar húmedo
mbo'ypy || a || comenzar;dar comienzo;iniciar;originar
mbo'yta || a || hacer nadar;hacer flotar en el agua;voyar
mbo'yty || a || llenar de basuras
mbo'ýva || a || poner mango o puño a un recipiente;empezar;apuntar;soplar o dirigir un canto;hacer de bastonero
mbo'yvi || a || enderezar;rectificar;enmendar;poner derecho lo que está torcido
mboyvy/mbo'yvy || a || dar o proporcionar tierra o terreno;adjudicar tierra;llevar arriba;poner o colocar arriba;dar altura;enaltecer
mbo'yvýi || a || acercar al suelo;inclinar
mboa'e || a || reconciliar
mboa'y || a || despedazar;desmenuzar;destrozar;hacer retazos
mboadio || a || saludar al pasar
mboae || a || hacer posible;dar vida
mboaguara || a || adular;alabar;halagar;lisonjear;piropear;zalamear;tomar del pelo a alguien
mboaguasa || a || amancebar;enconcubinar;prostituir
mboaguera || a || rebuscarse;escarbar;escarbarse;investigar;averiguar;estudiar;remover la tierra, la inmundicia o la basura
mboaguije || a || saludar;felicitar;congratular;honrar;agradecer desde el alma;satisfacer;contentar
mboaguyjeveme'ẽ/mboaguyjeme'ẽ/mboaguijeveme'ẽ/mboaguijeme'ẽ || a || dar las gracias
mboaguyjeve'ẽ/mboaguyjeve/mboaguyjete/mboaguijeve || a || agradecer
mboaguijevete || a || felicitar;saludar;congratular;dar la gratitud
mboaguyje || a || saludar;felicitar;congratular;honrar;satisfacer;contentar
mboaguyjevete || a || felicitar;saludar;congratular engrado sumo;dar la gratitud;satisfacer plenamente;agradecer de corazón
mboahe || a || tentar;impacientarse;quitar la paciencia
mboahéi || a || aburrir;impacientar
mboahy'o || a || poner en la garganta;preparar un arma de fuego para el disparo
mboahy'oapi || a || atragantarse;atragantar;atorar;atascar
mboahy'ojere || a || causar náusea
mboahy'opa'ã || a || atragantar;hacer atragantar;hacer atorar;atorar;atascar
mboahy'opyáu || a || enronquecer;causar ronquera;tener carraspera
mboahy'opyguara || a || gargarizar;hacer gargara profunda
mboai || a || hacer llaga o herida infecta;llagar;ulcerar;enllagar
mboajaka || a || encestar;poner en canastos;encajonar;envasar
mboaje'ỹ || a || desacatar;desobedecer;oponerse
mboao || a || vestir;arropar;proveer de vestido;trajear;dar ropa
mboaojoja || a || uniformar
mboapa || a || acalambrar;paralizar;tullir;torcer el hilo;deformar;lisiar
mboapajere || a || hacer dar vueltas;dar vueltas;dar vueltas varias veces;rodar;hacer rodar;revolcar
mboapajoyvy || a || torcer dos hilos en uno
mboapakua || a || doblar
mboapakuajera || a || desliar
mboapasuru || a || hundir;sumergir;encenegar;meter forzado en el barro;hacer hundir en el pantano;sumir en el tremedal
mboapatuka || a || manosear;sobar
mboapatuvy || a || llenar de polvo
mboape || a || forrar;tapar;poner cubierta;enchapar;encuadernar;recubrir
mboapekã || a || secar superficialmente
mboapepu || a || causar ruido con golpes;tocar tambor
mboapía || a || circuncidar;ser circuncidado;acobardar
mboapoja || a || apoyar para ordeñar;hacer mamar al ternero la primera leche
mboapokytã || a || anudar
mboapu'a || a || redondear;ovalar;hacer redonda;arrollar;ovillar;tornear;sintetisar;resumir
mboapy || a || dar fín a algo
mboapýra || a || limitar;orillar;guarnecer la orilla de una tela;frisar una tela;añadir;poner extremo o fin;hacer sacar punta terminar;cesar o acabar;hacer terminar;determinar;dar término;comenzar;dar comienzo
mboapysakuamboty || a || aturdir;ensordecer
mboapysaky'a || a || familiar;hablar al oido especialmente de amor;ensuciar el oido
mboapysamboty || a || ensordecer;aturdir;asordar
mboapyte || a || poner en medio;meter algo dentro de una cosa;cargar;embutir
mboapyterao || a || poner capitel;coronar;poner sobre la cabeza un lio de ropa vieja debajo de la carga;poner almohadilla sobre la cabeza para alzar carga
mboapyteso'o || a || cargar carne en la empanada;llevar algo escondido;dar contenido
mboarete || a || festejar
mboareve || a || prorrogar;dilatar en el tiempo;diferir;prolongar
mboaruru/mboruru || a || hinchar;inflamar;causar hinchazón;achichonar;hacer hinchar;remojar;poner en remojo;mojar la ropa;humedecer la ropa
mboatukupe || a || respaldar
mboaturĩ || a || acortar mucho una cosa
mboaturu || a || acurrucar
mboaty || a || juntar;recoger;cosechar;atesorar;amontonar;acumular;encimar;reunir;convocar
mboaviju || a || sacar pelusa;hacer saltar chispas
mboaviru || a || remover las hojas en el suelo para que se deshagan con facilidad;marchitar;tostar la hojarasca;secar algo al sol;resecar;hacer crocante;indigestar;llenar de flatulencia
mboavoa || a || enredar
mboayvi || a || hacer llovisnar;hacer caer una lluvia de piedras;disparar gran cantidad de proyectiles;rociar;hacer cosas de modo que queden desparramadas o esparcidas
mboayvu || a || alborotar;embarullar;hacer ruido;alarmar para alejar a alguien;rumorear;prorrumpir en gritos y carcajadas;alegrarse
mbochililin || a || hacer ruido de campanilla;hacer tintinear
mbochipa || a || aplastar
mbochipe || a || aplastar;plegar
mbochivi || a || hacer chorrear;derramar;abrir una canilla de agua
mbochivivi || a || hacer chorrear sin parar;derramar contínuamenbte;hacer fluir constantemente;hacer que un líquido cotenido en un recipiente;manar sin cesar
mbochivu || a || derrotar
mbochovi || a || desbordar;salir de los bordes;derramarse;rebasar;sobrepasar;rebosar;hacer rebosar;apilar;amontonar formando un cerro puntiagudo;acumular;hacinar;hacer montoncito de hojas, granos;hacer montículo
mboekovia || a || cambiar;reemplazar;substituir;relevar;trocar;pagar;devolver;suceder;suborgar
mboete || a || cumplir;dar importancia;hacer valer;respetar;acatar;honrar
mbogua || a || cerner;cernir;colar;cribar;tamizar;zarandear;purificar
mboguapy || a || asentar;hacer sentar;hacer reposar o descansar;anotar;apuntar;registrar;reposar o sentar la comida o bebida;colocar un número en el juego de la lotería
mboguarara || a || hacer caer con estrépito;hacer caer frutas sacudiendo el árbol;hacer caer un edificio de repente y con estrépito
mboguari || a || esconder a alguien;equivocar el camino
mboguata || a || encaminar;hacer caminar;hacer pasear;hacer andar;hacer encaminar;continuar;conducir;guiar;manejar
mbogue || a || apagar la luz;extinguir el fuego;sofocar el fuego;disipar;borrar
mboguy || a || levantar algo;alzar un poco;elevar;surgir
mboguyguy || a || revisar;hurgar;revolver;investigar
mboguyrapa || a || disparar con arco
mboguyryry || a || hacer murmullo;buscar;hurgar;revisar;estrujar;zarandear las ramas de los árboles con violencia;hacer ruido el viento en los días de tormenta;tirar todo lo que está abajo;arrasar con todo
mbohague || a || emplumar
mbohaguino || a || fermentar
mbohái || a || agriar;hacer agrio;poner limón a la ensalada;amargar;acedar;acidular;ser antipático;decir cosas inconvenientes;hacer un mal papel
mbohaku || a || calentar;exitar;despertar deseo sexual;enardecer;encolerizar
mbohakykue || a || atrasar;retrasar;postergar;dejar atrás;relegar;resagar;diferir;posponer
mbohape || a || encaminar;orientar;guiar;indicar ligeramente una cosa;reglamentar;insinuar;hacer camino;abrir camino;arar;surcar;abrir surco
mbohapo || a || enraizar;echar raíces;radicar;arraigar;cimentar
mbohapykue || a || dejar atrás;posponer;atrasar
mbohapykuere || a || hacer rastra;dejar rastro;dar rastro
mboharu || a || embrujar;dañar;causar daño
mbohasakuaa || a || salvar cualquier escollo
mbohasy || a || enfermar;infestar;contagiar;causar dolor;dificultar;complicar;hacer difícil una solución
mbohasy'ỹ || a || facilitar;hacer facil
mbohata || a || poner fuego;atizar
mbohavara || a || poner los pelos de punta
mbohaviju || a || deshilachar;sacar pelusas;toquetear;realizar juego sexual entre pareja
mbohayvi || a || hacer lloviznar;rociar
mbohe'ỹ || a || no darle gusto a la comida
mboheko || a || cambiar;formar;hacer el interesante;hacer rogar;hacer adular;hacer el melindroso;hacer el engreido;dar vida a algo;poner bien en estado y gusto
mbohekokuaa || a || darle conciencia
mbohekomarã || a || objetar;interrumpir;poner reparo;estropear;echar a perder
mbohekoporã || a || educar;moderar;mejorar;suavizar;aliviar;humanizar
mbohekovai || a || malcriar;degenerar;depravar;bastardear;viciar;pervertir;corromper
mbohekovia || a || cambiar;reemplazar;sustituir;trocar;relevar
mbohepy || a || poner precio;justipreciar;tasar;cotizar;avalar;evaluar;vender;sancionar;valorar;estimar;apreciar;encarecer;elevar el precio
mbohéra || a || denominar;poner nombre;llamar;nombrar;apodar
mbohero || a || apodar;denominar;poner nombre;llamar;nombrar;dar o poner sobrenombre o mote
mbohesa || a || poner ojo
mbohesa'ã || a || actuar fuera de la vista
mbohesa'i || a || sencillar dinero;desmenuzar;partir;dividir
mbohesa'yju || a || amarillear;impregnar de amarillo;empalidecer
mbohesakangy || a || deslumbrar
mbohesakua || a || dar en el ojo
mbohesakuaguyry || a || encandilar;deslumbrar por un fuerte golpe de luz;marear;causar vertigo
mbohesakuape || a || cegar;sacarle a alguien el o los ojos;dañar el ojo
mbohesamimbi || a || deslumbrar
mbohesape || a || iluminar;alumbrar;dar luz;hacer reflejar
mbohesape'a || a || hacer abrir los ojos;ilustrar;instruir;capacitar;informar
mbohesapiru || a || matar
mbohesapyso || a || alargar la visión;ayudar a los ojos con anteojos
mbohesarasy || a || causar mal de ojos;causar conjuntivitis;causar dolor de ojos
mbohesarea || a || embarullar;hacer confundir;hacer enredar
mbohesavi || a || hacerle bizco o tuerto a alguien por algún golpe;hacer mal al ojo;pestañear;guiñar;hacer que alguien guiñe el ojo
mbohesay || a || hacer llorar;hacer lagrimear;hacer que alguien vierta lágrimas;afligir
mbohesyvõ || a || hacer ensartar;hacer enhebrar
mboheta || a || aumentar;acrecentar;sumar;acrecentar;multiplicar;hacer mucho o muchos;hacer que sean muchos
mbohetave || a || aumentar más;multiplicar;incrementar;acrecentar aún más
mbohetepýu || a || aflojar el cuerpo
mbohevi || a || ponerle el trasero o culo;dejar para atrás a alguien en alguna competencia
mbohi'aju || a || madurar la fruta;dorar;sazonar
mbohogue || a || ponerle hojas
mbohoguepiru || a || marchitar
mbohokái || a || rodear
mbohoky || a || hacer brotar o retoñar;plantar renuevo
mbohope || a || poner pétalos
mbohopehýi || a || causar sueño
mbohopyta || a || poner la base
mbohovake || a || carear;enfrentar;poner cara a cara;altercar
mbohovapy || a || volver a poner boca abajo;poner de cara al suelo
mbohovasa || a || santiguar;bendecir;mandar hacer la bendición;hacer dar la bendición
mbohovasy || a || hacer que alguien se ponga serio;causar seriedad;poner cara de triste
mbohovatavy || a || burlarse;engañar burlamente;tomarle por tonto
mbohovayke || a || hacer ladear la cara
mbohovayva || a || volver a poner boca arriba
mbohovi || a || apilar;amontonar con exceso;hacinar;formar montículo;desbordar;hacer montoncito de hojas;hacer montículo;rellenar;colmar;hacer pequeños montones;llenar líquido hasta los bordes del recipiente
mbohovy || a || azular;teñir o pintar de color azul
mbohu'u || a || hacer toser;causar tos
mbohugua || a || arrinconar;poner en el fondo;dejar algo en el fondo;colocar la base de un recipiente;robar;esconder;guardar
mbohuguy || a || hacer sangrar;ensangrentar;sangrar;frustrar;no tener gracia ni gusto;decir palabras desabridas y de mal gusto;hacer papel desairado;tener una salida inoportuna;majadear;macanear;ser antipático
mbohuguyaku || a || soliviantar
mbohuguyho || a || alarmar;asustar
mbohuguyraku || a || acalorar;enardecer;indignar
mbohy'a || a || guardar algo en un porongo
mbohy'ái || a || hacer sudar
mbohyapu || a || alborotar;atronar;detonar;tabletear;resonar;producir ruido;hacer detonar
mbohyeguasu || a || preñar;engendrar;embarazar;fecundar;poner en cinta
mbohyeguy || a || sumergir a personas o animales en el agua hasta cubrir el vientre;hacer bañar o nadar;mojar el vientre
mbohyevera || a || descubrir el vientre
mbohyevu || a || indigestar;causar indigestión;causar diarrea por ingerir algo indigesto;empachar;empalagar;ahitar
mbohýi || a || cargar
mbohyjúi || a || burbujear;espumar;hacer que tenga burbuja o espuma
mbohyku || a || disolver;desleir;diluir;licuar;derretir;fundir
mbohykue || a || mojar;humedecer algo con un líquido;empapar con un líquido cualquier cosa;ensopar;embeber;agregar agua a la sopa
mbohypy || a || ahondar;profundizar;hacer hondo
mbohypy'a || a || cuajar;cortar;coagular;espesar;congelar;solidificar;hacer que un líquido se vuelva sólido mediante la acción del frío
mbohyru || a || envasar;empaquetar;encajonar;guardar;embolsar;embalar;embotellar;enlatar;cargar;atar;embutir;robar;introducir;meter en cantidad
mbohysýi || a || enfilar;alinear;poner en fila o en hilera;poner en single;ordenar;organizar;clasificar;poner uno detrás de otro;insertar
mboi || a || desnudar a las personas y también el caballo;desvestir;despojar;quitar
mboiko || a || desencadenar;promover
mboikove || a || animar;dar vida
mboiro || a || amargar;mezclar con hiel;enhielar;acedar
mboisyryku || a || hacer beber a sorbo ruidosamente;hacer absorber
mboita || a || apedrear;empedrar;lapidar;petrificar
mboitayjúi || a || enjabonar
mboity || a || postrar;echar
mboja'ohara || a || desdoblar
mbojahe'o || a || hacer llorar;afligir
mbojahéi || a || hacer impacientar;tentar;impacientarse;hacer perder o quitar la paciencia
mbojaho'i || a || hacer tapar;hacer cubrir
mbojahoga || a || ahogar
mbojahu || a || bañar;hacer bañar;hacer duchar;duchar;inducir u obligar a alguien que se bañe
mbojaity || a || sacudir;manipular la sonajera;conjurar;tirar;estirar;atraer hacia sí
mbojaivy || a || hacer agachar;hacer que alguien se agache
mbojajái || a || resplandecer;hacer fulgente
mbojaka || a || envasar;encajonar;poner en canastas
mbojapa || a || embadurnar;pegar totalmente
mbojaparo || a || hacer caer dando vueltas;volcar aparatosamente;tumbar un vehículo
mbojapi || a || hacer chocar
mbojapiche || a || resquemar;quemar la comida
mbojapiro || a || pelar el prepucio;hacer equivocar
mbojapu || a || hacer decir mentira;hacer mentir;difamar
mbojapyhara || a || hacer pasar rápidamente venciendo vallas
mbojapypy || a || atascar;cargar de la cuenta
mbojapysaka || a || consultar;hacer escuchar
mbojára || a || dar;patentar;marcar ganado
mbojaryvo || a || hacer que se sacuda
mbojaryvo'o || a || festejar;celebrar en grande
mbojavo'ói/mbojavorái || a || enredar;embrollar;confundir;embarullar;revolucionar;conmocionar
mbojavy || a || hacer errar;hacer equivocar;confundir
mbojayvy || a || agachar;humillar;inclinar
mbojeguaka || a || poner adornos de poca importancia
mbojeguaru || a || asquear;repugnar;dar asco
mbojehe'a || a || mezclar;entreverar;revolver;relacionar;alear;combinar;confundir
